=== IMM_GEN UNIT TEST REPORT ===
PASS | Input: 0x256 ImmSrc: 1 -> ext=0x256 lui=0x5800
PASS | Input: 0xae2 ImmSrc: 0 -> ext=0xffe2 lui=0x8800
PASS | Input: 0x373 ImmSrc: 0 -> ext=0xfff3 lui=0xcc00
PASS | Input: 0xd12 ImmSrc: 0 -> ext=0x12 lui=0x4800
PASS | Input: 0x239 ImmSrc: 1 -> ext=0x239 lui=0xe400
PASS | Input: 0xca1 ImmSrc: 1 -> ext=0xfca1 lui=0x8400
PASS | Input: 0xd81 ImmSrc: 0 -> ext=0x1 lui=0x400
PASS | Input: 0x527 ImmSrc: 1 -> ext=0x527 lui=0x9c00
PASS | Input: 0xe1f ImmSrc: 0 -> ext=0x1f lui=0x7c00
PASS | Input: 0x358 ImmSrc: 0 -> ext=0x18 lui=0x6000
PASS | Input: 0x314 ImmSrc: 0 -> ext=0x14 lui=0x5000
PASS | Input: 0x96 ImmSrc: 1 -> ext=0x96 lui=0x5800
PASS | Input: 0x555 ImmSrc: 1 -> ext=0x555 lui=0x5400
PASS | Input: 0xb2b ImmSrc: 1 -> ext=0xfb2b lui=0xac00
PASS | Input: 0x3ad ImmSrc: 1 -> ext=0x3ad lui=0xb400
PASS | Input: 0xf84 ImmSrc: 1 -> ext=0xff84 lui=0x1000
PASS | Input: 0x6e7 ImmSrc: 1 -> ext=0x6e7 lui=0x9c00
PASS | Input: 0x649 ImmSrc: 1 -> ext=0x649 lui=0x2400
PASS | Input: 0xfc9 ImmSrc: 1 -> ext=0xffc9 lui=0x2400
PASS | Input: 0xea1 ImmSrc: 0 -> ext=0xffe1 lui=0x8400
PASS | Input: 0x5fa ImmSrc: 1 -> ext=0x5fa lui=0xe800
PASS | Input: 0x583 ImmSrc: 0 -> ext=0x3 lui=0xc00
PASS | Input: 0x472 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0x268 ImmSrc: 1 -> ext=0x268 lui=0xa000
PASS | Input: 0xd86 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0x738 ImmSrc: 0 -> ext=0xfff8 lui=0xe000
PASS | Input: 0x628 ImmSrc: 0 -> ext=0xffe8 lui=0xa000
PASS | Input: 0xac5 ImmSrc: 0 -> ext=0x5 lui=0x1400
PASS | Input: 0xf74 ImmSrc: 1 -> ext=0xff74 lui=0xd000
PASS | Input: 0xab0 ImmSrc: 0 -> ext=0xfff0 lui=0xc000
PASS | Input: 0x32a ImmSrc: 0 -> ext=0xffea lui=0xa800
PASS | Input: 0x515 ImmSrc: 1 -> ext=0x515 lui=0x5400
PASS | Input: 0xd17 ImmSrc: 1 -> ext=0xfd17 lui=0x5c00
PASS | Input: 0x3c9 ImmSrc: 0 -> ext=0x9 lui=0x2400
PASS | Input: 0xb25 ImmSrc: 1 -> ext=0xfb25 lui=0x9400
PASS | Input: 0x28d ImmSrc: 0 -> ext=0xd lui=0x3400
PASS | Input: 0x707 ImmSrc: 0 -> ext=0x7 lui=0x1c00
PASS | Input: 0xd0c ImmSrc: 1 -> ext=0xfd0c lui=0x3000
PASS | Input: 0xc3b ImmSrc: 0 -> ext=0xfffb lui=0xec00
PASS | Input: 0x2f7 ImmSrc: 0 -> ext=0xfff7 lui=0xdc00
PASS | Input: 0x85c ImmSrc: 1 -> ext=0xf85c lui=0x7000
PASS | Input: 0xa20 ImmSrc: 0 -> ext=0xffe0 lui=0x8000
PASS | Input: 0x972 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0x5dd ImmSrc: 1 -> ext=0x5dd lui=0x7400
PASS | Input: 0x94b ImmSrc: 1 -> ext=0xf94b lui=0x2c00
PASS | Input: 0xa9e ImmSrc: 1 -> ext=0xfa9e lui=0x7800
PASS | Input: 0x27b ImmSrc: 1 -> ext=0x27b lui=0xec00
PASS | Input: 0xa03 ImmSrc: 1 -> ext=0xfa03 lui=0xc00
PASS | Input: 0x31d ImmSrc: 1 -> ext=0x31d lui=0x7400
PASS | Input: 0xf44 ImmSrc: 1 -> ext=0xff44 lui=0x1000
PASS | Input: 0x4e0 ImmSrc: 1 -> ext=0x4e0 lui=0x8000
PASS | Input: 0x552 ImmSrc: 0 -> ext=0x12 lui=0x4800
PASS | Input: 0x78d ImmSrc: 0 -> ext=0xd lui=0x3400
PASS | Input: 0x784 ImmSrc: 0 -> ext=0x4 lui=0x1000
PASS | Input: 0x28c ImmSrc: 0 -> ext=0xc lui=0x3000
PASS | Input: 0x117 ImmSrc: 0 -> ext=0x17 lui=0x5c00
PASS | Input: 0x784 ImmSrc: 0 -> ext=0x4 lui=0x1000
PASS | Input: 0xf7c ImmSrc: 0 -> ext=0xfffc lui=0xf000
PASS | Input: 0xdba ImmSrc: 1 -> ext=0xfdba lui=0xe800
PASS | Input: 0xea6 ImmSrc: 1 -> ext=0xfea6 lui=0x9800
PASS | Input: 0x332 ImmSrc: 0 -> ext=0xfff2 lui=0xc800
PASS | Input: 0xc49 ImmSrc: 0 -> ext=0x9 lui=0x2400
PASS | Input: 0x3d ImmSrc: 1 -> ext=0x3d lui=0xf400
PASS | Input: 0x5c ImmSrc: 1 -> ext=0x5c lui=0x7000
PASS | Input: 0x786 ImmSrc: 1 -> ext=0x786 lui=0x1800
PASS | Input: 0xab4 ImmSrc: 0 -> ext=0xfff4 lui=0xd000
PASS | Input: 0x2c ImmSrc: 0 -> ext=0xffec lui=0xb000
PASS | Input: 0x707 ImmSrc: 0 -> ext=0x7 lui=0x1c00
PASS | Input: 0x911 ImmSrc: 0 -> ext=0x11 lui=0x4400
PASS | Input: 0xe4b ImmSrc: 1 -> ext=0xfe4b lui=0x2c00
PASS | Input: 0xbec ImmSrc: 1 -> ext=0xfbec lui=0xb000
PASS | Input: 0xfa4 ImmSrc: 1 -> ext=0xffa4 lui=0x9000
PASS | Input: 0x439 ImmSrc: 1 -> ext=0x439 lui=0xe400
PASS | Input: 0x4d4 ImmSrc: 1 -> ext=0x4d4 lui=0x5000
PASS | Input: 0x19d ImmSrc: 0 -> ext=0x1d lui=0x7400
PASS | Input: 0x982 ImmSrc: 1 -> ext=0xf982 lui=0x800
PASS | Input: 0xad9 ImmSrc: 0 -> ext=0x19 lui=0x6400
PASS | Input: 0xc1c ImmSrc: 1 -> ext=0xfc1c lui=0x7000
PASS | Input: 0x1e3 ImmSrc: 0 -> ext=0xffe3 lui=0x8c00
PASS | Input: 0x8c8 ImmSrc: 1 -> ext=0xf8c8 lui=0x2000
PASS | Input: 0xd3a ImmSrc: 0 -> ext=0xfffa lui=0xe800
PASS | Input: 0x82b ImmSrc: 1 -> ext=0xf82b lui=0xac00
PASS | Input: 0xc12 ImmSrc: 0 -> ext=0x12 lui=0x4800
PASS | Input: 0x959 ImmSrc: 0 -> ext=0x19 lui=0x6400
PASS | Input: 0xa6e ImmSrc: 1 -> ext=0xfa6e lui=0xb800
PASS | Input: 0x7db ImmSrc: 0 -> ext=0x1b lui=0x6c00
PASS | Input: 0x3bb ImmSrc: 0 -> ext=0xfffb lui=0xec00
PASS | Input: 0xc0f ImmSrc: 1 -> ext=0xfc0f lui=0x3c00
PASS | Input: 0x20c ImmSrc: 1 -> ext=0x20c lui=0x3000
PASS | Input: 0x9c5 ImmSrc: 1 -> ext=0xf9c5 lui=0x1400
PASS | Input: 0x590 ImmSrc: 1 -> ext=0x590 lui=0x4000
PASS | Input: 0x469 ImmSrc: 1 -> ext=0x469 lui=0xa400
PASS | Input: 0x54a ImmSrc: 0 -> ext=0xa lui=0x2800
PASS | Input: 0xd9b ImmSrc: 0 -> ext=0x1b lui=0x6c00
PASS | Input: 0x1b8 ImmSrc: 1 -> ext=0x1b8 lui=0xe000
PASS | Input: 0xe86 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0x377 ImmSrc: 1 -> ext=0x377 lui=0xdc00
PASS | Input: 0x5d4 ImmSrc: 1 -> ext=0x5d4 lui=0x5000
PASS | Input: 0x776 ImmSrc: 1 -> ext=0x776 lui=0xd800
PASS | Input: 0xb8b ImmSrc: 1 -> ext=0xfb8b lui=0x2c00
PASS | Input: 0xbdb ImmSrc: 0 -> ext=0x1b lui=0x6c00
PASS | Input: 0xfc2 ImmSrc: 1 -> ext=0xffc2 lui=0x800
PASS | Input: 0xa30 ImmSrc: 1 -> ext=0xfa30 lui=0xc000
PASS | Input: 0xa66 ImmSrc: 1 -> ext=0xfa66 lui=0x9800
PASS | Input: 0xee9 ImmSrc: 0 -> ext=0xffe9 lui=0xa400
PASS | Input: 0xc06 ImmSrc: 1 -> ext=0xfc06 lui=0x1800
PASS | Input: 0x7e1 ImmSrc: 1 -> ext=0x7e1 lui=0x8400
PASS | Input: 0xeee ImmSrc: 0 -> ext=0xffee lui=0xb800
PASS | Input: 0xee5 ImmSrc: 0 -> ext=0xffe5 lui=0x9400
PASS | Input: 0xd64 ImmSrc: 1 -> ext=0xfd64 lui=0x9000
PASS | Input: 0xee1 ImmSrc: 1 -> ext=0xfee1 lui=0x8400
PASS | Input: 0x56e ImmSrc: 1 -> ext=0x56e lui=0xb800
PASS | Input: 0x9d5 ImmSrc: 0 -> ext=0x15 lui=0x5400
PASS | Input: 0x1f0 ImmSrc: 0 -> ext=0xfff0 lui=0xc000
PASS | Input: 0x30f ImmSrc: 1 -> ext=0x30f lui=0x3c00
PASS | Input: 0xc7d ImmSrc: 0 -> ext=0xfffd lui=0xf400
PASS | Input: 0xce2 ImmSrc: 0 -> ext=0xffe2 lui=0x8800
PASS | Input: 0x6a9 ImmSrc: 1 -> ext=0x6a9 lui=0xa400
PASS | Input: 0x5b ImmSrc: 1 -> ext=0x5b lui=0x6c00
PASS | Input: 0xb4a ImmSrc: 1 -> ext=0xfb4a lui=0x2800
PASS | Input: 0xd13 ImmSrc: 1 -> ext=0xfd13 lui=0x4c00
PASS | Input: 0x165 ImmSrc: 1 -> ext=0x165 lui=0x9400
PASS | Input: 0xab7 ImmSrc: 1 -> ext=0xfab7 lui=0xdc00
PASS | Input: 0x83a ImmSrc: 1 -> ext=0xf83a lui=0xe800
PASS | Input: 0x762 ImmSrc: 0 -> ext=0xffe2 lui=0x8800
PASS | Input: 0xd2a ImmSrc: 1 -> ext=0xfd2a lui=0xa800
PASS | Input: 0xf59 ImmSrc: 1 -> ext=0xff59 lui=0x6400
PASS | Input: 0xbed ImmSrc: 1 -> ext=0xfbed lui=0xb400
PASS | Input: 0xc41 ImmSrc: 1 -> ext=0xfc41 lui=0x400
PASS | Input: 0xcdb ImmSrc: 1 -> ext=0xfcdb lui=0x6c00
PASS | Input: 0xf70 ImmSrc: 0 -> ext=0xfff0 lui=0xc000
PASS | Input: 0xa2 ImmSrc: 1 -> ext=0xa2 lui=0x8800
PASS | Input: 0xe6a ImmSrc: 0 -> ext=0xffea lui=0xa800
PASS | Input: 0xe50 ImmSrc: 1 -> ext=0xfe50 lui=0x4000
PASS | Input: 0x825 ImmSrc: 0 -> ext=0xffe5 lui=0x9400
PASS | Input: 0x9f6 ImmSrc: 0 -> ext=0xfff6 lui=0xd800
PASS | Input: 0xb23 ImmSrc: 1 -> ext=0xfb23 lui=0x8c00
PASS | Input: 0x5c8 ImmSrc: 1 -> ext=0x5c8 lui=0x2000
PASS | Input: 0xe0e ImmSrc: 1 -> ext=0xfe0e lui=0x3800
PASS | Input: 0x30c ImmSrc: 0 -> ext=0xc lui=0x3000
PASS | Input: 0x1d4 ImmSrc: 1 -> ext=0x1d4 lui=0x5000
PASS | Input: 0xfb9 ImmSrc: 1 -> ext=0xffb9 lui=0xe400
PASS | Input: 0xff4 ImmSrc: 1 -> ext=0xfff4 lui=0xd000
PASS | Input: 0x10c ImmSrc: 1 -> ext=0x10c lui=0x3000
PASS | Input: 0x302 ImmSrc: 1 -> ext=0x302 lui=0x800
PASS | Input: 0x905 ImmSrc: 0 -> ext=0x5 lui=0x1400
PASS | Input: 0x902 ImmSrc: 0 -> ext=0x2 lui=0x800
PASS | Input: 0x208 ImmSrc: 1 -> ext=0x208 lui=0x2000
PASS | Input: 0xeaf ImmSrc: 0 -> ext=0xffef lui=0xbc00
PASS | Input: 0x990 ImmSrc: 1 -> ext=0xf990 lui=0x4000
PASS | Input: 0x4c ImmSrc: 1 -> ext=0x4c lui=0x3000
PASS | Input: 0x640 ImmSrc: 1 -> ext=0x640 lui=0x0
PASS | Input: 0x60d ImmSrc: 0 -> ext=0xd lui=0x3400
PASS | Input: 0x92d ImmSrc: 1 -> ext=0xf92d lui=0xb400
PASS | Input: 0x1bc ImmSrc: 0 -> ext=0xfffc lui=0xf000
PASS | Input: 0xdc0 ImmSrc: 0 -> ext=0x0 lui=0x0
PASS | Input: 0xaa1 ImmSrc: 1 -> ext=0xfaa1 lui=0x8400
PASS | Input: 0xef5 ImmSrc: 1 -> ext=0xfef5 lui=0xd400
